48 # shot/geophone points
#x	y
0.00	299.29
1.50	299.15
3.00	298.98
4.50	298.88
6.00	298.58
7.50	298.46
9.00	298.32
10.50	298.21
12.00	298.21
13.50	298.21
15.00	298.19
16.50	298.15
18.00	298.05
19.50	297.96
21.00	297.84
22.50	297.66
24.00	297.42
25.50	297.44
27.00	297.38
28.50	297.25
30.00	297.06
31.50	296.94
33.00	296.73
34.50	296.53
36.00	296.41
37.50	296.33
39.00	296.21
40.50	296.08
42.00	295.95
43.50	295.81
45.00	295.76
46.50	295.51
48.00	295.29
49.50	295.23
51.00	295.17
52.50	295.14
54.00	295.08
55.50	295.02
57.00	294.98
58.50	294.88
60.00	294.66
61.50	294.44
63.00	294.48
64.50	294.59
66.00	294.54
67.50	294.17
69.00	293.70
70.50	293.64
