72# Number of electrodes
# x z position for each electrode
0.0	299.29
1.0	299.20
2.0	299.10
3.0	298.98
4.0	298.85
5.0	298.72
6.0	298.58
7.0	298.50
8.0	298.42
9.0	298.32
10.0	298.21
11.0	298.21
12.0	298.21
13.0	298.21
14.0	298.20
15.0	298.19
16.0	298.18
17.0	298.12
18.0	298.05
19.0	297.99
20.0	297.93
21.0	297.84
22.0	297.74
23.0	297.58
24.0	297.42
25.0	297.43
26.0	297.44
27.0	297.38
28.0	297.31
29.0	297.19
30.0	297.06
31.0	296.98
32.0	296.89
33.0	296.73
34.0	296.56
35.0	296.49
36.0	296.41
37.0	296.36
38.0	296.30
39.0	296.21
40.0	296.12
41.0	296.04
42.0	295.95
43.0	295.86
44.0	295.76
45.0	295.67
46.0	295.58
47.0	295.44
48.0	295.29
49.0	295.23
50.0	295.17
51.0	295.17
52.0	295.16
53.0	295.12
54.0	295.08
55.0	295.04
56.0	295.00
57.0	294.98
58.0	294.95
59.0	294.81
60.0	294.66
61.0	294.51
62.0	294.36
63.0	294.48
64.0	294.60
65.0	294.57
66.0	294.54
67.0	294.30
68.0	293.80
69.0	293.70
70.0	293.63
71.0	293.67
2949# Number of data
# a b m n i/mA u/mV
2	9	48	42	165.926514	10.060875
2	9	42	49	165.926514	-11.097636
2	9	49	43	165.926514	9.311372
2	9	43	50	165.926514	-10.582803
2	9	50	44	165.926514	8.654650
2	9	44	51	165.926514	-9.714809
2	9	51	45	165.926514	7.999024
2	9	45	52	165.926514	-9.003708
2	10	46	54	173.480687	-11.604945
2	10	54	47	173.480687	9.814144
2	10	47	55	173.480687	-10.890994
2	10	55	48	173.480687	9.208416
2	10	48	56	173.480687	-10.264418
2	10	56	49	173.480687	9.018210
2	10	49	57	173.480687	-10.015539
2	10	57	50	173.480687	8.492570
2	10	50	58	173.480687	-9.418859
2	10	58	51	173.480687	8.145620
2	10	51	59	173.480687	-9.253306
2	11	52	61	118.654900	-7.958213
2	11	61	53	118.654900	6.885560
2	11	53	62	118.654900	-7.651973
2	11	62	54	118.654900	6.593953
2	11	54	63	118.654900	-7.154259
2	11	63	55	118.654900	6.201187
2	11	55	64	118.654900	-6.621465
2	11	64	56	118.654900	5.795606
2	11	56	65	118.654900	-6.183203
2	11	65	57	118.654900	5.411540
2	11	57	66	118.654900	-5.792934
3	4	5	6	128.328232	-2709.156823
3	4	6	7	128.328232	-608.240915
3	4	7	8	128.328232	-175.815563
3	4	8	9	128.328232	-72.265422
3	4	9	10	128.328232	-38.144069
3	4	10	11	128.328232	-22.036749
3	5	11	13	145.811315	-53.293327
3	5	13	15	145.811315	-30.499318
3	5	15	17	145.811315	-9.796724
3	5	17	12	145.811315	59.937779
3	5	12	14	145.811315	-35.032462
3	5	14	16	145.811315	-19.556715
3	5	16	18	145.811315	-9.822048
3	6	17	20	123.192449	-15.434343
3	6	20	23	123.192449	-8.397634
3	6	23	18	123.192449	17.590516
3	6	18	21	123.192449	-12.327830
3	6	21	24	123.192449	-7.285696
3	6	24	19	123.192449	14.665322
3	6	19	22	123.192449	-9.957701
3	6	22	25	123.192449	-6.397743
3	7	23	27	138.750427	-11.079479
3	7	27	31	138.750427	-6.379354
3	7	31	24	138.750427	14.256725
3	7	24	28	138.750427	-9.421285
3	7	28	32	138.750427	-6.300687
3	7	32	25	138.750427	12.997201
3	7	25	29	138.750427	-8.392085
3	7	29	26	138.750427	5.697707
3	7	26	30	138.750427	-7.285424
3	8	29	34	132.787425	-9.219498
3	8	34	39	132.787425	-7.578721
3	8	39	30	132.787425	14.868007
3	8	30	35	132.787425	-8.701675
3	8	35	31	132.787425	6.845147
3	8	31	36	132.787425	-8.724724
3	8	36	32	132.787425	6.981365
3	8	32	37	132.787425	-8.603513
3	8	37	33	132.787425	6.818040
3	8	33	38	132.787425	-8.222007
3	9	35	41	155.040716	-11.539051
3	9	41	36	155.040716	9.036692
3	9	36	42	155.040716	-10.193682
3	9	42	37	155.040716	8.049837
3	9	37	43	155.040716	-9.459904
3	9	43	38	155.040716	7.492017
3	9	38	44	155.040716	-9.014336
3	9	44	39	155.040716	7.248723
3	9	39	45	155.040716	-8.607385
3	9	45	40	155.040716	7.181571
3	9	40	46	155.040716	-8.560699
3	10	41	48	161.645889	-11.656369
3	10	48	42	161.645889	10.001238
3	10	42	49	161.645889	-10.801270
3	10	49	43	161.645889	9.055285
3	10	43	50	161.645889	-10.286074
3	10	50	44	161.645889	8.407083
3	10	44	51	161.645889	-9.433370
3	10	51	45	161.645889	7.762906
3	10	45	52	161.645889	-8.731026
3	10	52	46	161.645889	7.044931
3	10	46	53	161.645889	-8.146797
3	11	47	55	115.623967	-7.341092
3	11	55	48	115.623967	6.202817
3	11	48	56	115.623967	-6.881973
3	11	56	49	115.623967	6.043516
3	11	49	57	115.623967	-6.708542
3	11	57	50	115.623967	5.683907
3	11	50	58	115.623967	-6.303970
3	11	58	51	115.623967	5.448962
3	11	51	59	115.623967	-6.184185
3	11	59	52	115.623967	5.375174
3	11	52	60	115.623967	-6.142464
3	12	53	62	160.691742	-10.460033
3	12	62	54	160.691742	9.026159
3	12	54	63	160.691742	-9.667849
3	12	63	55	160.691742	8.370929
3	12	55	64	160.691742	-8.935213
3	12	64	56	160.691742	7.820277
3	12	56	65	160.691742	-8.346786
3	12	65	57	160.691742	7.297634
3	12	57	66	160.691742	-7.800223
3	12	66	58	160.691742	6.825665
3	12	58	67	160.691742	-7.322234
4	5	6	7	113.392927	-2225.537199
4	5	7	8	113.392927	-359.599216
4	5	8	9	113.392927	-117.057103
4	5	9	10	113.392927	-54.778645
4	5	10	11	113.392927	-29.326745
4	5	11	12	113.392927	-14.238518
4	6	12	14	117.435374	-41.073348
4	6	14	16	117.435374	-18.995386
4	6	16	18	117.435374	-9.423251
4	6	18	13	117.435374	46.565889
4	6	13	15	117.435374	-30.762991
4	6	15	17	117.435374	-11.603968
4	6	17	19	117.435374	-7.373161
4	7	18	21	131.344823	-15.636698
4	7	21	24	131.344823	-8.535414
4	7	24	19	131.344823	17.800431
4	7	19	22	131.344823	-12.231868
4	7	22	25	131.344823	-7.540602
4	7	25	20	131.344823	14.501235
4	7	20	23	131.344823	-10.200948
4	7	23	26	131.344823	-6.245084
4	8	24	28	125.982567	-9.091541
4	8	28	32	125.982567	-5.685008
4	8	32	25	125.982567	12.137557
4	8	25	29	125.982567	-7.903160
4	8	29	33	125.982567	-5.598896
4	8	33	26	125.982567	10.945469
4	8	26	30	125.982567	-6.820172
4	8	30	27	125.982567	4.607086
4	8	27	31	125.982567	-6.028031
4	9	30	35	145.408468	-10.310640
4	9	35	40	145.408468	-7.116472
4	9	40	31	145.408468	15.357174
4	9	31	36	145.408468	-9.683871
4	9	36	32	145.408468	7.766496
